,0
SM1_Dzv,515.8113883008419
VE1_Dzv,484.1886116991581
VE2_Dzv,484.1886116991581
VE3_Dzv,484.1886116991581
VR1_Dzv,484.1886116991581
VR2_Dzv,484.1886116991581
VR3_Dzv,484.1886116991581
SpAbs_Dzse,484.1886116991581
SpMax_Dzse,484.1886116991581
SpDiam_Dzse,484.1886116991581
SpAD_Dzse,484.1886116991581
SpMAD_Dzse,484.1886116991581
LogEE_Dzse,484.1886116991581
SM1_Dzse,484.1886116991581
VE1_Dzse,484.1886116991581
VE2_Dzse,484.1886116991581
VE3_Dzse,484.1886116991581
VR1_Dzse,484.1886116991581
VR2_Dzse,484.1886116991581
VR3_Dzse,484.1886116991581
SpAbs_Dzpe,484.1886116991581
SpMax_Dzpe,484.1886116991581
SpDiam_Dzpe,484.1886116991581
SpAD_Dzpe,484.1886116991581
SpMAD_Dzpe,484.1886116991581
LogEE_Dzpe,484.1886116991581
SM1_Dzpe,484.1886116991581
VE1_Dzpe,484.1886116991581
VE2_Dzpe,484.1886116991581
VE3_Dzpe,484.1886116991581
VR1_Dzpe,484.1886116991581
VR2_Dzpe,484.1886116991581
VR3_Dzpe,484.1886116991581
SpAbs_Dzare,484.1886116991581
SpMax_Dzare,484.1886116991581
SpDiam_Dzare,484.1886116991581
SpAD_Dzare,484.1886116991581
SpMAD_Dzare,484.1886116991581
LogEE_Dzare,484.1886116991581
SM1_Dzare,484.1886116991581
VE1_Dzare,484.1886116991581
VE2_Dzare,484.1886116991581
VE3_Dzare,484.1886116991581
VR1_Dzare,484.1886116991581
VR2_Dzare,484.1886116991581
VR3_Dzare,484.1886116991581
SpAbs_Dzp,484.1886116991581
SpMax_Dzp,484.1886116991581
SpDiam_Dzp,484.1886116991581
SpAD_Dzp,484.1886116991581
SpMAD_Dzp,484.1886116991581
LogEE_Dzp,484.1886116991581
SM1_Dzp,515.8113883008419
VE1_Dzp,484.1886116991581
VE2_Dzp,484.1886116991581
VE3_Dzp,484.1886116991581
VR1_Dzp,484.1886116991581
VR2_Dzp,484.1886116991581
VR3_Dzp,484.1886116991581
